문서 번호,(구)파일명,확장자,이동 상태,최종 업로드일,담당자(부서),권한 정보,용량(MB),폴더 경로
DOC01069,[52100436]-belif-classic-creamultimate-50ml-02.jpg,.jpg,,2023. 5. 25,,,1.99,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\클래식-classic\
DOC01070,[52100436]-belif-classic-creamultimate-50ml-03.jpg,.jpg,,2023. 5. 25,,,16.56,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\클래식-classic\
DOC01071,[52100445]-belif-classic-essenceincrement-50ml-01.jpg,.jpg,,2023. 5. 25,,,17.9,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\클래식-classic\
DOC01072,[52100445]-belif-classic-essenceincrement-50ml-02.jpg,.jpg,,2023. 5. 25,,,0.58,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\클래식-classic\
DOC01073,[52100445]-belif-classic-essenceincrement-50ml-03.jpg,.jpg,,2023. 5. 25,,,0.18,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\클래식-classic\
DOC01074,[52100445]-belif-classic-essenceincrement-50ml-04.jpg,.jpg,,2023. 5. 25,,,0.31,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\클래식-classic\
DOC01075,[52100445][52100436]-belif-classic-01.jpg,.jpg,,2023. 5. 25,,,0.62,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\클래식-classic\
DOC01076,[52100445][52100436]-belif-classic-02.jpg,.jpg,,2023. 5. 25,,,7.27,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\@연출컷 샘플링\연출컷_Product Photography\정품-product\베이직-basic\클래식-classic\
DOC01077,03_2960_R4.jpg,.jpg,,1980. 1. 1,,,28.61,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\dnmt 촬영컷\Model cuts\ABMB\AB frozen(25.04~27.03)\
DOC01078,03_2990_R4.jpg,.jpg,,1980. 1. 1,,,24.28,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\dnmt 촬영컷\Model cuts\ABMB\AB frozen(25.04~27.03)\
DOC01079,03_3233_R4.jpg,.jpg,,1980. 1. 1,,,20.29,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\dnmt 촬영컷\Model cuts\ABMB\AB frozen(25.04~27.03)\
DOC01080,03_3320_R3.jpg,.jpg,,1980. 1. 1,,,26.36,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\dnmt 촬영컷\Model cuts\ABMB\AB frozen(25.04~27.03)\
DOC01081,03_3355_R3.jpg,.jpg,,1980. 1. 1,,,25.06,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\dnmt 촬영컷\Model cuts\ABMB\AB frozen(25.04~27.03)\
